Programming skills,Problem solving skills,Analytical skills,Logical skills,Statistical skills,Communication skills,Styling,Creativity skills,Organisational skills,Negotiation skills,Attention to details,Empathy,Leadership,Stress management,Listening skills,Research,Emotional intelligence,Role
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Lecturer
Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Lecturer
Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Lecturer
Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Lecturer
Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Lecturer
Average,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Lecturer
Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Lecturer
